sigma,wavelet,mode,wavelet_levels,convert2ycbcr,method,rescale_sigma,PSNR
0.001,sym3,hard,,False,VisuShrink,False,18.041692471236605
0.001,sym3,hard,1,False,BayesShrink,True,18.04164154330841
0.001,sym3,hard,1,False,BayesShrink,False,18.04164154330841
0.001,sym3,hard,1,False,VisuShrink,True,18.04170976376244
0.001,sym3,hard,1,False,VisuShrink,False,18.04170976376244
0.001,sym3,hard,2,False,BayesShrink,True,18.04164154329489
0.001,sym3,hard,2,False,BayesShrink,False,18.04164154329489
0.001,sym3,hard,2,False,VisuShrink,True,18.041692471236605
0.001,sym3,hard,2,False,VisuShrink,False,18.041692471236605
0.001,sym3,hard,3,False,BayesShrink,True,18.04164154329769
0.001,sym3,hard,3,False,BayesShrink,False,18.04164154329769
0.001,sym3,hard,3,False,VisuShrink,True,18.04170202408833
0.001,sym3,hard,3,False,VisuShrink,False,18.04170202408833
0.001,sym4,soft,,False,BayesShrink,True,18.04196041480843
0.001,sym4,soft,,False,BayesShrink,False,18.04196041480843
0.001,sym4,soft,,False,VisuShrink,True,18.219978998012895
0.001,sym4,soft,,False,VisuShrink,False,18.219978998012895
0.001,sym4,soft,1,False,BayesShrink,True,18.04196041480843
0.001,sym4,soft,1,False,BayesShrink,False,18.04196041480843
0.001,sym4,soft,1,False,VisuShrink,True,18.219978998012895
0.001,sym4,soft,1,False,VisuShrink,False,18.219978998012895
0.001,sym4,soft,2,False,BayesShrink,True,18.042028147027178
0.001,sym4,soft,2,False,BayesShrink,False,18.042028147027178
0.001,sym4,soft,2,False,VisuShrink,True,18.262667749328354
0.001,sym4,soft,2,False,VisuShrink,False,18.262667749328354
0.001,sym4,soft,3,False,BayesShrink,True,18.042033857575227
0.001,sym4,soft,3,False,BayesShrink,False,18.042033857575227
0.001,sym4,soft,3,False,VisuShrink,True,18.267534310385344
0.001,sym4,soft,3,False,VisuShrink,False,18.267534310385344
0.001,sym4,hard,,False,BayesShrink,True,18.04164154149258
0.001,sym4,hard,,False,BayesShrink,False,18.04164154149258
0.001,sym4,hard,,False,VisuShrink,True,18.041682894867016
0.001,sym4,hard,,False,VisuShrink,False,18.041682894867016
0.001,sym4,hard,1,False,BayesShrink,True,18.04164154149258
0.001,sym4,hard,1,False,BayesShrink,False,18.04164154149258
0.001,sym4,hard,1,False,VisuShrink,True,18.041682894867016
0.001,sym4,hard,1,False,VisuShrink,False,18.041682894867016
0.001,sym4,hard,2,False,BayesShrink,True,18.041641541490762
0.001,sym4,hard,2,False,BayesShrink,False,18.041641541490762
0.001,sym4,hard,2,False,VisuShrink,True,18.04175669191344
0.001,sym4,hard,2,False,VisuShrink,False,18.04175669191344
0.001,sym4,hard,3,False,BayesShrink,True,18.041641541490698
0.001,sym4,hard,3,False,BayesShrink,False,18.041641541490698
0.001,sym4,hard,3,False,VisuShrink,True,18.041771840438724
0.001,sym4,hard,3,False,VisuShrink,False,18.041771840438724
0.001,coif1,soft,,False,BayesShrink,True,18.04202303482247
0.001,coif1,soft,,False,BayesShrink,False,18.04202303482247
0.001,coif1,soft,,False,VisuShrink,True,18.26133766702036
0.001,coif1,soft,,False,VisuShrink,False,18.26133766702036
0.001,coif1,soft,1,False,BayesShrink,True,18.04195789368045
0.001,coif1,soft,1,False,BayesShrink,False,18.04195789368045
0.001,coif1,soft,1,False,VisuShrink,True,18.219301478227628
0.001,coif1,soft,1,False,VisuShrink,False,18.219301478227628
0.001,coif1,soft,2,False,BayesShrink,True,18.04202303482247
0.001,coif1,soft,2,False,BayesShrink,False,18.04202303482247
0.001,coif1,soft,2,False,VisuShrink,True,18.26133766702036
0.001,coif1,soft,2,False,VisuShrink,False,18.26133766702036
0.001,coif1,soft,3,False,BayesShrink,True,18.04202800510508
0.001,coif1,soft,3,False,BayesShrink,False,18.04202800510508
0.001,coif1,soft,3,False,VisuShrink,True,18.265497284961512
0.001,coif1,soft,3,False,VisuShrink,False,18.265497284961512
0.001,coif1,hard,,False,BayesShrink,True,18.04164154163496
0.001,coif1,hard,,False,BayesShrink,False,18.04164154163496
0.001,coif1,hard,,False,VisuShrink,True,18.041689750492207
0.001,coif1,hard,,False,VisuShrink,False,18.041689750492207
0.001,coif1,hard,1,False,BayesShrink,True,18.04164154163496
0.001,coif1,hard,1,False,BayesShrink,False,18.04164154163496
0.001,coif1,hard,1,False,VisuShrink,True,18.041697119107738
0.001,coif1,hard,1,False,VisuShrink,False,18.041697119107738
0.001,coif1,hard,2,False,BayesShrink,True,18.04164154163496
0.001,coif1,hard,2,False,BayesShrink,False,18.04164154163496
0.001,coif1,hard,2,False,VisuShrink,True,18.041689750492207
0.001,coif1,hard,2,False,VisuShrink,False,18.041689750492207
0.001,coif1,hard,3,False,BayesShrink,True,18.04164154163496
0.001,coif1,hard,3,False,BayesShrink,False,18.04164154163496
0.001,coif1,hard,3,False,VisuShrink,True,18.04164497247719
0.001,coif1,hard,3,False,VisuShrink,False,18.04164497247719
0.001,coif2,soft,,False,BayesShrink,True,18.041961114815635
0.001,coif2,soft,,False,BayesShrink,False,18.041961114815635
0.001,coif2,soft,,False,VisuShrink,True,18.220037092009523
0.001,coif2,soft,,False,VisuShrink,False,18.220037092009523
0.001,coif2,soft,1,False,BayesShrink,True,18.041961114815635
0.001,coif2,soft,1,False,BayesShrink,False,18.041961114815635
0.001,coif2,soft,1,False,VisuShrink,True,18.220037092009523
0.001,coif2,soft,1,False,VisuShrink,False,18.220037092009523
0.001,coif2,soft,2,False,BayesShrink,True,18.042028993872083
0.001,coif2,soft,2,False,BayesShrink,False,18.042028993872083
0.001,coif2,soft,2,False,VisuShrink,True,18.262932311904134
0.001,coif2,soft,2,False,VisuShrink,False,18.262932311904134
0.001,coif2,soft,3,False,BayesShrink,True,18.042035065740805
0.001,coif2,soft,3,False,BayesShrink,False,18.042035065740805
0.001,coif2,soft,3,False,VisuShrink,True,18.26860135171732
0.001,coif2,soft,3,False,VisuShrink,False,18.26860135171732
0.001,coif2,hard,,False,BayesShrink,True,18.041641540324317
0.001,coif2,hard,,False,BayesShrink,False,18.041641540324317
0.001,coif2,hard,,False,VisuShrink,True,18.041653204212437
0.001,coif2,hard,,False,VisuShrink,False,18.041653204212437
0.001,coif2,hard,1,False,BayesShrink,True,18.041641540324317
0.001,coif2,hard,1,False,BayesShrink,False,18.041641540324317
0.001,coif2,hard,1,False,VisuShrink,True,18.041653204212437
0.001,coif2,hard,1,False,VisuShrink,False,18.041653204212437
0.001,coif2,hard,2,False,BayesShrink,True,18.041641540324317
0.001,coif2,hard,2,False,BayesShrink,False,18.041641540324317
0.001,coif2,hard,2,False,VisuShrink,True,18.041661786709103
0.001,coif2,hard,2,False,VisuShrink,False,18.041661786709103
0.001,coif2,hard,3,False,BayesShrink,True,18.041641540324317
0.001,coif2,hard,3,False,BayesShrink,False,18.041641540324317
0.001,coif2,hard,3,False,VisuShrink,True,18.04166138563559
0.001,coif2,hard,3,False,VisuShrink,False,18.04166138563559
0.001,bior1.1,soft,,False,BayesShrink,True,18.04201578601353
0.001,bior1.1,soft,,False,BayesShrink,False,18.04201578601353
0.001,bior1.1,soft,,False,VisuShrink,True,18.260711736858596
0.001,bior1.1,soft,,False,VisuShrink,False,18.260711736858596
0.001,bior1.1,soft,1,False,BayesShrink,True,18.041952330559656
0.001,bior1.1,soft,1,False,BayesShrink,False,18.041952330559656
0.001,bior1.1,soft,1,False,VisuShrink,True,18.217982197662877
0.001,bior1.1,soft,1,False,VisuShrink,False,18.217982197662877
0.001,bior1.1,soft,2,False,BayesShrink,True,18.04201138051925
0.001,bior1.1,soft,2,False,BayesShrink,False,18.04201138051925
0.001,bior1.1,soft,2,False,VisuShrink,True,18.257295130231334
0.001,bior1.1,soft,2,False,VisuShrink,False,18.257295130231334
0.001,bior1.1,soft,3,False,BayesShrink,True,18.04201629016486
0.001,bior1.1,soft,3,False,BayesShrink,False,18.04201629016486
0.001,bior1.1,soft,3,False,VisuShrink,True,18.26192426462289
0.001,bior1.1,soft,3,False,VisuShrink,False,18.26192426462289
0.001,bior1.1,hard,,False,BayesShrink,True,18.041641535622702
0.001,bior1.1,hard,,False,BayesShrink,False,18.041641535622702
0.001,bior1.1,hard,,False,VisuShrink,True,18.041727861136
0.001,bior1.1,hard,,False,VisuShrink,False,18.041727861136
0.001,bior1.1,hard,1,False,BayesShrink,True,18.041641535622706
0.001,bior1.1,hard,1,False,BayesShrink,False,18.041641535622706
0.001,bior1.1,hard,1,False,VisuShrink,True,18.041680170043445
0.001,bior1.1,hard,1,False,VisuShrink,False,18.041680170043445
0.001,bior1.1,hard,2,False,BayesShrink,True,18.041641535622702
0.001,bior1.1,hard,2,False,BayesShrink,False,18.041641535622702
0.001,bior1.1,hard,2,False,VisuShrink,True,18.041724941970465
0.001,bior1.1,hard,2,False,VisuShrink,False,18.041724941970465
0.001,bior1.1,hard,3,False,BayesShrink,True,18.041641535622702
0.001,bior1.1,hard,3,False,BayesShrink,False,18.041641535622702
0.001,bior1.1,hard,3,False,VisuShrink,True,18.04173343639745
0.001,bior1.1,hard,3,False,VisuShrink,False,18.04173343639745
0.001,bior1.3,soft,,False,BayesShrink,True,18.042000299699396
0.001,bior1.3,soft,,False,BayesShrink,False,18.042000299699396
0.001,bior1.3,soft,,False,VisuShrink,True,18.25349658074894
0.001,bior1.3,soft,,False,VisuShrink,False,18.25349658074894
0.001,bior1.3,soft,1,False,BayesShrink,True,18.04194704546085
0.001,bior1.3,soft,1,False,BayesShrink,False,18.04194704546085
0.001,bior1.3,soft,1,False,VisuShrink,True,18.216326892915152
0.001,bior1.3,soft,1,False,VisuShrink,False,18.216326892915152
0.001,bior1.3,soft,2,False,BayesShrink,True,18.042000299699396
0.001,bior1.3,soft,2,False,BayesShrink,False,18.042000299699396
0.001,bior1.3,soft,2,False,VisuShrink,True,18.25349658074894
0.001,bior1.3,soft,2,False,VisuShrink,False,18.25349658074894
0.001,bior1.3,soft,3,False,BayesShrink,True,18.042004750172097
0.001,bior1.3,soft,3,False,BayesShrink,False,18.042004750172097
0.001,bior1.3,soft,3,False,VisuShrink,True,18.258123827319864
0.001,bior1.3,soft,3,False,VisuShrink,False,18.258123827319864
0.001,bior1.3,hard,,False,BayesShrink,True,18.041641543644335
0.001,bior1.3,hard,,False,BayesShrink,False,18.041641543644335
0.001,bior1.3,hard,,False,VisuShrink,True,18.041656920954473
0.001,bior1.3,hard,,False,VisuShrink,False,18.041656920954473
0.001,bior1.3,hard,1,False,BayesShrink,True,18.04164154364434
0.001,bior1.3,hard,1,False,BayesShrink,False,18.04164154364434
0.001,bior1.3,hard,1,False,VisuShrink,True,18.041678424506742
0.001,bior1.3,hard,1,False,VisuShrink,False,18.041678424506742
0.001,bior1.3,hard,2,False,BayesShrink,True,18.041641543644335
0.001,bior1.3,hard,2,False,BayesShrink,False,18.041641543644335
0.001,bior1.3,hard,2,False,VisuShrink,True,18.041656920954473
0.001,bior1.3,hard,2,False,VisuShrink,False,18.041656920954473
0.001,bior1.3,hard,3,False,BayesShrink,True,18.041641543644335
0.001,bior1.3,hard,3,False,BayesShrink,False,18.041641543644335
0.001,bior1.3,hard,3,False,VisuShrink,True,18.041644591687117
0.001,bior1.3,hard,3,False,VisuShrink,False,18.041644591687117
0.001,bior2.2,soft,,False,BayesShrink,True,18.042065819040328
0.001,bior2.2,soft,,False,BayesShrink,False,18.042065819040328
0.001,bior2.2,soft,,False,VisuShrink,True,18.265970136791168
